productName,brand,sku,category,finalPriceVND,retailer,url,stockStatus,scrapedAt
"Laptop Dell Latitude 3450 - L3450-1335U-16512WN (i5 1335U, 16GB, 512GB, Full HD, Win11)",Dell,L3450-1335U-16512WN,Laptop,18590000,Thế Giới Di Động,https://www.thegioididong.com/laptop/dell-latitude-3450-i5-l34501335u16512wn,in stock,2025-08-19T10:15:00
Dell Latitude 3450 i7 1355U (L3450-1355U-16512W),Dell,L3450-1355U-16512W,Laptop,24490000,FPT Shop,https://fptshop.com.vn/may-tinh-xach-tay/dell-latitude-3450-i7-1355u-16512w,in stock,2025-08-19T10:15:00
