productName,sku,brand,finalPriceVND,oldPriceVND,stockStatus,retailer,url,category,scrapedAt
LENOVO THINKSTATION P3 TOWER I7-14700 16GB RAM 512GB SSD NVIDIA T400 4GB WIFI BT NO OS 3 YRS 30GS00G7VA,30GS00G7VA,Lenovo,38610000,,In Stock,Hitech Pro,https://websosanh.vn/s/30gs00g7va.htm,Server,2025-08-22T14:33:00Z
Máy trạm Lenovo ThinkStation P3 Tower 30GS00G7VA,30GS00G7VA,Lenovo,39369000,,In Stock,Kigimart,https://websosanh.vn/s/30gs00g7va.htm,Server,2025-08-22T14:33:00Z
Máy trạm Workstation Lenovo ThinkStation P3 Tower,30GS00G7VA,Lenovo,38379000,,In Stock,Vitinhrachgia,https://websosanh.vn/s/30gs00g7va.htm,Server,2025-08-22T14:33:00Z
PC Lenovo Workstation ThinkStation P3 Tower,30GS00G7VA,Lenovo,39204000,,In Stock,Laptopworld,https://websosanh.vn/s/30gs00g7va.htm,Server,2025-08-22T14:33:00Z
