productName,sku,brand,finalPriceVND,oldPriceVND,stockStatus,retailer,url,category,scrapedAt
Laptop Dell Inspiron 3530 N5I5101W1 (i5 1334U/ 8GB/ 512GB SSD/ 15.6 inch FHD/ 120Hz/ Win 11/ Office/ Black/ 1Y),N5I5101W1,Dell,13900000,17900000,In Stock,Truong Phat PC,https://truongphatpc.com/laptop-dell-inspiron-3530-n5i5101w1-i5-1334u-8gb-512gb-ssd-15-6-inch-fhd-120hz-win-11-office-black-1y,Laptop,2025-08-21T12:28:00Z
Laptop Dell Inspiron 3530 N5I5101W1 (i5 1334U/ 8GB/ 512GB SSD/ 15.6 inch FHD/ 120Hz/ Win 11/ Office/ Black/ 1Y),N5I5101W1,Dell,14400000,17500000,In Stock,Hieu PC,https://hieupc.com.vn/product/laptop-dell-inspiron-3530-n5i5101w1-i5-1334u-8gb-512gb-ssd-15-6-inch-fhd-120hz-win-11-office-black-1y,Laptop,2025-08-21T12:28:00Z
