productName,sku,brand,finalPriceVND,oldPriceVND,stockStatus,retailer,url,category,scrapedAt
Laptop Dell Inspiron 3530 N5I5101W1 i5 1334U 8GB 512GB SSD 15.6 inch FHD 120Hz Win 11 Office Black 1Y,N5I5101W1,Dell,15290000,,In Stock,truongphatpc.com,,Laptop,2024-06-01T00:00:00Z
Laptop Dell Inspiron 15 3530 N5I5101W1 i5-1334U 8GB 512GB 15.6 FHD OB Win11 Office,N5I5101W1,Dell,16390000,,In Stock,loctai.com,,Laptop,2024-06-01T00:00:00Z
Laptop Dell Inspiron 15 3530 N5I5101W1 Black,N5I5101W1,Dell,17699000,,In Stock,nova.com.vn,,Laptop,2024-06-01T00:00:00Z
Laptop Dell Inspiron 15 3530 N5I5101W1 Black,N5I5101W1,Dell,19789000,,In Stock,kigimart.com,,Laptop,2024-06-01T00:00:00Z
